Title,Salary,Job Type,Job Location,Functional Area,Career Level,Minimum Experience,Minimum Education,Gender,Skills,Remote_Friendly
Accounts Officer,60000.0,full time/permanent,"Jhelum,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,2.0,Bachelor,No Preference,"General Accounts Management, Corporate Accounting, Financial Accounting, Accounts  Administration",0
Warehouse Executive,35000.0,full time/permanent,"Jhelum,
                                                                                                                                                                                                                                                                                            Pakistan",Warehousing,Experienced Professional,3.0,Bachelor,No Preference,"Stock Management, Inventory Planning Skills, Store Knowledge, Record Keeping Skills",0
Admission Officer / Study Counselor,25000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,,Intermediate,No Preference,"Communication Skills, Sales Operations, Sales Growth, Sales Management",0
Assistant Manager - Laboratory,70000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Engineering,Experienced Professional,,Bachelor,Female,"Analytical Skills, Shopify Theme Management, Communication Skills",0
Node.Js Developer,60000.0,full time/permanent,"Gulberg 3, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Entry Level,1.0,Bachelor,No Preference,"Javascript, MongoDB, NodeJs, React Native",0
Development Manager - C++,300000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,,Bachelor,No Preference,"Databases Management, C++ Knowledge, MS Visual Studio",0
Assistant Manager Procurement,90000.0,full time/permanent,"Kahna Nau, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Procurement,Experienced Professional,4.0,Master,No Preference,"Team Management Skills, Rate Analysis, Vendor Management Skillls",0
Security Executive,45000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Security,Experienced Professional,,Diploma,No Preference,"Security Plan Preparation, Security Measures Implementation, Security Awareness, Security Protocols, Security Compliance",0
Supply Executive,60000.0,full time/permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Supply Chain Management,Experienced Professional,,Bachelor,No Preference,"Employee Retention, Vendor Management Skillls, Supply Chain Optimization",0
Deputy Manager Import / Procurement,125000.0,full time/permanent,"New Garden Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Import & Export,Experienced Professional,5.0,Master,Male,"Supplier Quality Management, Supplier Negotiation, Supplier Development, Supply Management Skills, Inventory Planning Skills, Procurement Knowledge, Communication Skills, Knowledge of Spreadsheets, Import Operations Handling",0
Dental Assistant,30000.0,contract,"Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Health & Medicine,Entry Level,1.0,Matriculation,No Preference,"Dental Products Knowledge, Dental Material Handling, Dental Equipment Management, Dental Care, Close Attention to Detail",0
Assistant Accountant,50000.0,full time/permanent,"Gulberg 3, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,,Bachelor,No Preference,"Accounting, Admin Operations Management, Bookkeeping Knowledge, Accounts Software Command, Reconciliation, Accounts Management Skills",0
Educational Counselor,40000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,3.0,Bachelor,No Preference,"Career Counseling, Student Counseling, Applications Processing, Educational Consultancy",0
Business Development Manager,50000.0,full time/permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,3.0,Bachelor,No Preference,"Business Development Process, Business Development Strategies, B2B Business Development",0
Receptionist,175000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Peshawar,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                                                                                                                        Gilgit,
                                                                                                                                                                                                                                                                                                                                                                                        Kashmir,
                                                                                                                                                                                                                                                                                            Pakistan","Secretarial, Clerical & Front Office",Experienced Professional,5.0,Bachelor,No Preference,"Business Understanding, Communication Skills, Front Office Support",0
Payment Collection Specialist,50000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,2.0,Bachelor,No Preference,"Cash Collection, Credit Collection Recovery, Knowledge of Spreadsheets, MS Excel, Communication Skills",0
Web Developer - Intern,8000.0,internship,"Rahimyar Khan,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Intern/Student,,Intermediate,Male,"HTML, C++ Knowledge, Javascript",0
Oversea Operations Executive,30000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Maritime & Shipping,Entry Level,1.0,Bachelor,No Preference,"International Business Knowledge, Regulatory Compliance, Project Management",0
Online Computer Science Instructor - Youtube,80000.0,part time,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan","Teachers/Education, Training & Development",Experienced Professional,,Bachelor,No Preference,"Google Docs Knowledge, Communication Skills, Technical Knowledge",0
Junior Sales / Support Representative,35000.0,full time/permanent,"Banglore Town, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Bachelor,Female,"Communication Skills, Sales Automation, Client Acquisition Skills, Sales Management",0
Branch Manager,70000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,3.0,Bachelor,No Preference,"Branch Operations, Branch Management, Branch Administration Skills, Managerial Skills",0
Digital Marketing Associate,50000.0,full time/permanent,"DHA, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,2.0,,No Preference,"Communication Skills, Content Writing Skills, Digital Marketing Analysis, Digital Marketing Management",0
Deputy Manager Admin,100000.0,full time/permanent,"New Garden Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Administration,Experienced Professional,5.0,Master,Male,"Communication Skills, Multitasking Skills, Record Maintenance, Coordination Tasks, Legal Affairs Management, ERP Software Command, House Keeping Skills, Security Awareness, Fleet Management, Knowledge of Spreadsheets",0
Sales Executive,40000.0,full time/permanent,"I.I Chundrigar Road, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,2.0,Bachelor,Male,"Communication Skills, Presentation Skills, Sales Management, End to End Sales",0
Sales Manager,80000.0,full time/permanent,"Kharian,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,4.0,Bachelor,No Preference,"Client Relationship, End to End Sales, Dealer Management",0
Chat Support Executive,35000.0,full time/permanent,"Bahria Town Lahore, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,,Intermediate,No Preference,"Live Chat Handling, Social Media Chat Support, Chat Support Skills, Multitasking Skills, Client Acquisition Skills",0
Godown Dispatcher,25000.0,full time/permanent,"Multan Road, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Warehousing,Entry Level,1.0,Intermediate,No Preference,"Safety and Compliance, Transportation Coordination, Inventory Management",0
Admin Officer,50000.0,full time/permanent,"New Garden Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Administration,Experienced Professional,5.0,Bachelor,Male,"Office Repair, House Keeping Skills, ERP Software Command, Knowledge of Spreadsheets, Document Handling, Document Drafting",0
Sales Executive,20000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Intermediate,Female,"Sales Management, Sales Automation, Fluent in English, Coordination Skills",0
Head of Sales,200000.0,full time/permanent,"Vehari,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Department Head,8.0,Bachelor,Male,"Communication Skills, Sales Growth, Dealer Network Development",0
Computer Operator,25000.0,full time/permanent,"Brandreth Road, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Data Entry,Experienced Professional,,Intermediate,Male,"Communication Skills, Computer Proficient, Typing Speed",0
Social Media Specialist,30000.0,full time/permanent,"Bahadurabad, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,,Bachelor,No Preference,"Business Development Process, Communication Skills, Social Media Strategies",0
Customer Sales Representative,35000.0,full time/permanent,"Dhok Khiloo Khan, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,1.0,Intermediate,No Preference,"Travels Knowledge, Communication Skills, Fluent in English",0
Driver,35000.0,full time/permanent,"Warsak Road, 
                                                                                                                                                                                                                                                                                                            Peshawar,
                                                                                                                                                                                                                                                                                            Pakistan",Distribution & Logistics,Experienced Professional,3.0,Intermediate,No Preference,"Traffic Signs Knowledge, Driving License, Communication Skills",0
Telesales Agent,25000.0,full time/permanent,"Gulistan-e-Johar, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,1.0,Intermediate,No Preference,"Communication Skills, Telemarketing Skills, Fluent in English",0
Sales Executive,35000.0,full time/permanent,"Karimabad, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Intermediate,No Preference,"Target Orientation, Sales Management, Communication Skills, Client Relationship Management",0
Telesales Agent,25000.0,full time/permanent,"Gulistan-e-Johar, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,,Matriculation,No Preference,"Call Handling, Technical Product Sales, Telemarketing  Skills, Fluent in English",0
Sales Executive,30000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Bachelor,Male,"Sales Management, Communication Skills, Admin Operations Management",0
Manager Contracts,200000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,10.0,Bachelor,No Preference,"Budgeting and Forecasting, Cost Management, Legal Compliance, Risk Assessment",0
Financial Analyst / Taxation Officer,60000.0,full time/permanent,"Bosan Road, 
                                                                                                                                                                                                                                                                                                            Multan,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,,Master,No Preference,"Taxations Knowledge, Budgeting Skills, Financial Statement Analysis, Field Task Management",0
Accountant,35000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,,Bachelor,Male,"Accounts Management, Payroll Process, BookKeeping",0
Customer Service Representative,30000.0,full time/permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,,Matriculation,No Preference,"Communication Skills, Fluent in English, Travels Knowledge",0
Sales Manager,25000.0,full time/permanent,"Phoolnagar (Bhai Pheru),
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,1.0,Intermediate,Female,"Sales Management, Sales Automation, Communication Skills, Coordination Skills",0
Customer Support Representative,30000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,,Intermediate,Male,"Travels Knowledge, Communication Skills, Fluent in English",0
Customer Services Representative,30000.0,full time/permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,1.0,Intermediate,No Preference,"Communication Skills, Fluent in English, Travels Knowledge",0
Accountant,35000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,,Master,Male,"Field Task Management, Tax Returns Management, Payroll Analysis, Admin Operations Management",0
Senior Designer UI / UX,150000.0,full time/permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Experienced Professional,,Bachelor,No Preference,"Adobe Illustrator, Adobe XD, Sketch, InVision, Product Analysis, Product Design, Figma",0
Business Development Manager,90000.0,full time/permanent,"Kahna Nau, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,,Master,No Preference,"Client Aquisition, International Business Exposure, Business Development Strategies",0
Telesales Agent,45000.0,full time/permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Experienced Professional,2.0,Bachelor,No Preference,"Sales Pro Skills, Fluent in English, Communication Skills",0
Medical Billing - Intern,25000.0,internship,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Intern/Student,,Bachelor,No Preference,"Fluent in English, MS Excel, Communication Skills",0
Computer Operator,200000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Peshawar,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                                                                                                                        Gilgit,
                                                                                                                                                                                                                                                                                            Pakistan",Data Entry,Experienced Professional,5.0,Bachelor,No Preference,"Time Management, Inventory Accuracy, Admin Operations Management",0
Technical Support Engineer,60000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Computer Networking,Experienced Professional,3.0,Master,Male,"Switches Knowledge, Routers Configuration, Basic Trouble Shooting, IT Networking",0
Marketing Specialist,250000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Peshawar,
                                                                                                                                                                                                                                                                                                                                                                                        Quetta,
                                                                                                                                                                                                                                                                                                                                                                                        Gilgit,
                                                                                                                                                                                                                                                                                                                                                                                        Kashmir,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,5.0,Bachelor,No Preference,"Business Decision Making, Computer Proficient, Marketing Management",0
Technical Support Engineer - Level 1 / Level 2,50000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Computer Networking,Experienced Professional,,Master,Male,"Wireless Networking, Routers Management, Cisco Networking Devices Command, Internet Troubleshooting",0
Receptionist,14000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan","Secretarial, Clerical & Front Office",Entry Level,,Intermediate,Female,"Front Office Support, Communication Skills, Admin Operations Management",0
Payment Collection Specialist,60000.0,full time/permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",,,3.0,,No Preference,"Communication Skills, Negotiation Skills, Customer Service, Knowledge Of Payment Processes, Familiarity With Collections Software, Collaboration Platforms, CRM Software, Data Management",0
